timeframe,split,direction,horizon,base_rates,identical
1H,VALIDATION,OB,1,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5035762181493071, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5035762181493071, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5035762181493071}",True
1H,VALIDATION,OB,3,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.49586407332886207, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.49586407332886207, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.49586407332886207}",True
1H,VALIDATION,OB,5,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.4991055456171735, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.4991055456171735, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.4991055456171735}",True
1H,VALIDATION,OB,10,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5120259536860946, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5120259536860946, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5120259536860946}",True
1H,VALIDATION,OS,1,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.4957532409476978, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.4957532409476978, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.4957532409476978}",True
1H,VALIDATION,OS,3,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5036887994634474, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5036887994634474, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5036887994634474}",True
1H,VALIDATION,OS,5,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5001118067978533, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5001118067978533, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5001118067978533}",True
1H,VALIDATION,OS,10,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.4877503076406757, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.4877503076406757, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.4877503076406757}",True
2H,DISCOVERY,OB,1,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.48691950464396283, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.48691950464396283, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.48691950464396283}",True
2H,DISCOVERY,OB,3,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.4780925839913299, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.4780925839913299, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.4780925839913299}",True
2H,DISCOVERY,OB,5,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.477624651594921, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.477624651594921, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.477624651594921}",True
2H,DISCOVERY,OB,10,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.47323987297653164, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.47323987297653164, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.47323987297653164}",True
2H,DISCOVERY,OS,1,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5117647058823529, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5117647058823529, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5117647058823529}",True
2H,DISCOVERY,OS,3,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5211333023687877, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5211333023687877, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5211333023687877}",True
2H,DISCOVERY,OS,5,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5214462681944875, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5214462681944875, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5214462681944875}",True
2H,DISCOVERY,OS,10,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5262954070172721, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5262954070172721, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5262954070172721}",True
2H,VALIDATION,OB,1,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.49133333333333334, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.49133333333333334, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.49133333333333334}",True
2H,VALIDATION,OB,3,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5024455313472654, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5024455313472654, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5024455313472654}",True
2H,VALIDATION,OB,5,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5115658362989324, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5115658362989324, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5115658362989324}",True
2H,VALIDATION,OB,10,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5021153417947005, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5021153417947005, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5021153417947005}",True
2H,VALIDATION,OS,1,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5077777777777778, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5077777777777778, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5077777777777778}",True
2H,VALIDATION,OS,3,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.49733214762116495, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.49733214762116495, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.49733214762116495}",True
2H,VALIDATION,OS,5,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.48821174377224197, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.48821174377224197, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.48821174377224197}",True
2H,VALIDATION,OS,10,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.4972166555332888, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.4972166555332888, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.4972166555332888}",True
30m,DISCOVERY,OB,1,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.4937716197569136, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.4937716197569136, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.4937716197569136}",True
30m,DISCOVERY,OB,3,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.4908035764919378, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.4908035764919378, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.4908035764919378}",True
30m,DISCOVERY,OB,5,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.4870602468855744, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.4870602468855744, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.4870602468855744}",True
30m,DISCOVERY,OB,10,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.47999773131167994, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.47999773131167994, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.47999773131167994}",True
30m,DISCOVERY,OS,1,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.503525319925146, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.503525319925146, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.503525319925146}",True
30m,DISCOVERY,OS,3,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5074006162454396, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5074006162454396, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5074006162454396}",True
30m,DISCOVERY,OS,5,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5113518213954895, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5113518213954895, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5113518213954895}",True
30m,DISCOVERY,OS,10,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5192082277763074, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5192082277763074, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5192082277763074}",True
30m,VALIDATION,OB,1,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.4942074189595633, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.4942074189595633, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.4942074189595633}",True
30m,VALIDATION,OB,3,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.4972704991087344, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.4972704991087344, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.4972704991087344}",True
30m,VALIDATION,OB,5,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5007242339832869, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5007242339832869, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5007242339832869}",True
30m,VALIDATION,OB,10,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5000278629144609, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5000278629144609, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5000278629144609}",True
30m,VALIDATION,OS,1,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5043444357803275, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5043444357803275, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5043444357803275}",True
30m,VALIDATION,OS,3,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5021724598930482, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5021724598930482, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5021724598930482}",True
30m,VALIDATION,OS,5,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.498941504178273, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.498941504178273, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.498941504178273}",True
30m,VALIDATION,OS,10,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.49941487879632207, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.49941487879632207, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.49941487879632207}",True
4H,DISCOVERY,OB,1,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.48230290141272975, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.48230290141272975, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.48230290141272975}",True
4H,DISCOVERY,OB,3,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.4743959884516031, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.4743959884516031, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.4743959884516031}",True
4H,DISCOVERY,OB,5,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.4675482596139231, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.4675482596139231, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.4675482596139231}",True
4H,DISCOVERY,OB,10,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.4627319744447825, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.4627319744447825, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.4627319744447825}",True
4H,DISCOVERY,OS,1,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5164818471821359, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5164818471821359, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5164818471821359}",True
4H,DISCOVERY,OS,3,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5253001063668136, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5253001063668136, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5253001063668136}",True
