timeframe,split,direction,horizon,event_semantics,dynamic_event_count,dynamic_reversal_rate,dynamic_absolute_lift,dynamic_minus_quantile_lift,dynamic_minus_quantile_reversal_rate,vs_quantile_class,dynamic_minus_atr_lift,dynamic_minus_atr_reversal_rate,vs_atr_class
4H,DISCOVERY,OS,3,FORECAST_REALIZATION,494,0.5951417004048583,0.06999354662883639,0.025175830097690977,0.025175830097690977,BETTER,0.08015532438305983,0.08015532438305983,BETTER
4H,DISCOVERY,OS,5,FORECAST_REALIZATION,494,0.5910931174089069,0.058945374590849475,0.026246701026654384,0.026246701026654384,BETTER,0.010711646019261112,0.010711646019261112,BETTER
4H,DISCOVERY,OS,10,FORECAST_REALIZATION,494,0.5991902834008097,0.06192225784559213,0.042876290226748326,0.042876290226748326,BETTER,0.02425840329181783,0.02425840329181783,BETTER
4H,VALIDATION,OB,1,FORECAST_REALIZATION,166,0.5240963855421686,0.023429422447459936,-0.024126964711638443,-0.024126964711638443,WORSE,-0.03145917001338694,-0.03145917001338694,WORSE
4H,VALIDATION,OB,3,FORECAST_REALIZATION,166,0.463855421686747,-0.04838311858917643,-0.010634374231620392,-0.010634374231620392,WORSE,0.04322050105182634,0.04322050105182634,BETTER
4H,VALIDATION,OB,5,FORECAST_REALIZATION,166,0.4759036144578313,-0.03278235436176785,0.016719940988443538,0.016719940988443538,BETTER,0.06320520175941863,0.06320520175941863,BETTER
4H,VALIDATION,OB,10,FORECAST_REALIZATION,166,0.46987951807228917,-0.03101333907056797,0.01579788541922794,0.01579788541922794,BETTER,0.03337158156435266,0.03337158156435266,BETTER
4H,VALIDATION,OS,1,FORECAST_REALIZATION,168,0.5833333333333334,0.08400029642804213,0.01333333333333342,0.01333333333333342,BETTER,-0.01822916666666663,-0.01822916666666663,WORSE
4H,VALIDATION,OS,3,FORECAST_REALIZATION,168,0.4523809523809524,-0.035380507343124146,-0.057619047619047625,-0.057619047619047625,WORSE,-0.07105654761904762,-0.07105654761904762,WORSE
4H,VALIDATION,OS,5,FORECAST_REALIZATION,168,0.5238095238095238,0.03294092692756395,0.008809523809523823,0.008809523809523823,SIMILAR,-0.007440476190476164,-0.007440476190476164,SIMILAR
4H,VALIDATION,OS,10,FORECAST_REALIZATION,168,0.5595238095238095,0.060416666666666674,0.024523809523809503,0.024523809523809503,BETTER,0.0004686914135733078,0.0004686914135733078,SIMILAR
5m,DISCOVERY,OB,1,FORECAST_REALIZATION,28829,0.5371674355683513,0.04190389716934673,0.0008633005059583976,0.0008633005059583976,SIMILAR,0.00802368065868908,0.00802368065868908,SIMILAR
5m,DISCOVERY,OB,3,FORECAST_REALIZATION,28829,0.53078497346422,0.036765704804493426,-0.005274483350069192,-0.005274483350069192,SIMILAR,0.01839953224924229,0.01839953224924229,BETTER
5m,DISCOVERY,OB,5,FORECAST_REALIZATION,28829,0.5373755593326165,0.043185670322026415,-0.002721088575384445,-0.002721088575384445,SIMILAR,0.018077313718581456,0.018077313718581456,BETTER
5m,DISCOVERY,OB,10,FORECAST_REALIZATION,28829,0.5238475146553817,0.03188715744824999,-0.0029447535119782042,-0.0029447535119782042,SIMILAR,0.005387184726080796,0.005387184726080796,SIMILAR
5m,DISCOVERY,OS,1,FORECAST_REALIZATION,28807,0.5422640330475231,0.04513569712333132,0.0077400098320621336,0.0077400098320621336,SIMILAR,-0.005690645392819493,-0.005690645392819493,SIMILAR
5m,DISCOVERY,OS,3,FORECAST_REALIZATION,28807,0.5491720762314715,0.047482577806164716,0.00024163494500928362,0.00024163494500928362,SIMILAR,0.007175161501964622,0.007175161501964622,SIMILAR
5m,DISCOVERY,OS,5,FORECAST_REALIZATION,28807,0.5552469885791648,0.052608003587713115,0.00016680667394697313,0.00016680667394697313,SIMILAR,0.007185921501128734,0.007185921501128734,SIMILAR
5m,DISCOVERY,OS,10,FORECAST_REALIZATION,28807,0.5437220120109696,0.038021964226137905,0.001759890118859353,0.001759890118859353,SIMILAR,-0.00407308347283275,-0.00407308347283275,SIMILAR
5m,VALIDATION,OB,1,FORECAST_REALIZATION,9214,0.5566529194703712,0.057843384631894645,0.006299890856472978,0.006299890856472978,SIMILAR,-0.004211048488433011,-0.004211048488433011,SIMILAR
5m,VALIDATION,OB,3,FORECAST_REALIZATION,9214,0.547319296722379,0.04957520051989428,-0.0012685888220282937,-0.0012685888220282937,SIMILAR,-0.00038489438046751534,-0.00038489438046751534,SIMILAR
5m,VALIDATION,OB,5,FORECAST_REALIZATION,9214,0.5484046016930757,0.05105892782776539,0.003068295487204331,0.003068295487204331,SIMILAR,-0.0013021641487208635,-0.0013021641487208635,SIMILAR
5m,VALIDATION,OB,10,FORECAST_REALIZATION,9214,0.532884740612112,0.03642400607555196,0.0012050676280911388,0.0012050676280911388,SIMILAR,-0.009383890485012869,-0.009383890485012869,SIMILAR
5m,VALIDATION,OS,1,FORECAST_REALIZATION,9251,0.5585342125175656,0.06051214490655593,0.00635869629337682,0.00635869629337682,SIMILAR,-0.01027180078107559,-0.01027180078107559,WORSE
5m,VALIDATION,OS,3,FORECAST_REALIZATION,9251,0.5585342125175656,0.058057091180514164,0.004515038476267663,0.004515038476267663,SIMILAR,0.001870436859861102,0.001870436859861102,SIMILAR
5m,VALIDATION,OS,5,FORECAST_REALIZATION,9251,0.5551832234353042,0.054039037474975515,0.0021780611934163474,0.0021780611934163474,SIMILAR,-0.001046900878081125,-0.001046900878081125,SIMILAR
5m,VALIDATION,OS,10,FORECAST_REALIZATION,9250,0.5458378378378378,0.0432436118436933,6.481303835403907e-05,6.481303835403907e-05,SIMILAR,-0.00815955987793493,-0.00815955987793493,SIMILAR
6H,DISCOVERY,OB,1,FORECAST_REALIZATION,419,0.477326968973747,0.0032162080552418093,-0.027117475470697483,-0.027117475470697483,WORSE,0.05213011858004618,0.05213011858004618,BETTER
6H,DISCOVERY,OB,3,FORECAST_REALIZATION,419,0.4343675417661098,-0.03522705282848476,-0.032299124900556864,-0.032299124900556864,WORSE,0.02491872286847202,0.02491872286847202,BETTER
6H,DISCOVERY,OB,5,FORECAST_REALIZATION,419,0.49403341288782815,0.023325886975254895,-0.010411031556616324,-0.010411031556616324,WORSE,0.029466483753969874,0.029466483753969874,BETTER
6H,DISCOVERY,OB,10,FORECAST_REALIZATION,419,0.477326968973747,0.021202448333097312,0.0062158578626358985,0.0062158578626358985,SIMILAR,0.04031909495799896,0.04031909495799896,BETTER
6H,DISCOVERY,OS,1,FORECAST_REALIZATION,323,0.5851393188854489,0.059250079803954026,0.006191950464396245,0.006191950464396245,SIMILAR,0.08299339613866774,0.08299339613866774,BETTER
6H,DISCOVERY,OS,3,FORECAST_REALIZATION,323,0.5572755417956656,0.027095361615485425,-0.0032507739938080205,-0.0032507739938080205,SIMILAR,0.029378546087511115,0.029378546087511115,BETTER
6H,DISCOVERY,OS,5,FORECAST_REALIZATION,323,0.541795665634675,0.012503191547248216,-0.01609907120743026,-0.01609907120743026,WORSE,-0.016144248528415117,-0.016144248528415117,WORSE
6H,DISCOVERY,OS,10,FORECAST_REALIZATION,323,0.5758513931888545,0.03242707557098845,-0.013622291021671784,-0.013622291021671784,WORSE,0.03507886100001323,0.03507886100001323,BETTER
