timeframe,split,direction,control_id,horizon,sample_count,sample_flag,reversal_rate_event,reversal_wilson_lo,reversal_wilson_hi
5m,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,3,10376,N_GE_100,0.5517540478026214,0.5421675243845175,0.5613022626688803
5m,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,5,10376,N_GE_100,0.5479953739398612,0.5384029952741908,0.5575522262390161
5m,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,10,10376,N_GE_100,0.5323824209714726,0.5227716058496791,0.5419692664965808
5m,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,1,10445,N_GE_100,0.5665868836764002,0.5570605622521262,0.5760642427023291
5m,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,3,10445,N_GE_100,0.5623743417903303,0.5528390686388203,0.5718637500927797
5m,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,5,10445,N_GE_100,0.5590234561991383,0.5494815598132934,0.5685219516955804
5m,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,10,10443,N_GE_100,0.5482141147179929,0.538652927346601,0.557739842694059
6H,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,1,435,N_GE_100,0.47586206896551725,0.42934615001383525,0.5228005926833019
6H,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,3,435,N_GE_100,0.432183908045977,0.3864247704436947,0.4791303638006431
6H,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,5,435,N_GE_100,0.48735632183908045,0.44070054396689196,0.5342334641125609
6H,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,10,435,N_GE_100,0.4804597701149425,0.4338849605828411,0.5273766882672223
6H,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,1,384,N_GE_100,0.578125,0.5281941553185936,0.6265081767674952
6H,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,3,384,N_GE_100,0.5598958333333334,0.5098952122729176,0.608709908993084
6H,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,5,384,N_GE_100,0.5677083333333334,0.517729367234272,0.6163459872403383
6H,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,10,384,N_GE_100,0.5755208333333334,0.5255758868295022,0.6239697008537171
6H,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,1,125,N_GE_100,0.48,0.3943261533805731,0.5668665048912894
6H,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,3,125,N_GE_100,0.448,0.36366742825085785,0.5354334832559847
6H,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,5,125,N_GE_100,0.52,0.4331334951087107,0.6056738466194269
6H,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,10,125,N_GE_100,0.44,0.3560569897020464,0.5275209851135412
6H,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,1,123,N_GE_100,0.5772357723577236,0.48889394915995515,0.6608991786466951
6H,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,3,123,N_GE_100,0.5121951219512195,0.4248356555093271,0.5988158909864598
6H,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,5,123,N_GE_100,0.5528455284552846,0.4647023677965987,0.6377876670184777
6H,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,10,123,N_GE_100,0.5365853658536586,0.44868827716312104,0.6222663623242396
8H,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,1,340,N_GE_100,0.47058823529411764,0.41815710493609826,0.5236765766195948
8H,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,3,340,N_GE_100,0.4441176470588235,0.39221918096295794,0.49726481399285893
8H,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,5,340,N_GE_100,0.43823529411764706,0.38647538235245554,0.4913753489144999
8H,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,10,340,N_GE_100,0.45588235294117646,0.4037288593990767,0.5090216629344628
8H,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,1,298,N_GE_100,0.5738255033557047,0.5170887939596462,0.6286830280821134
8H,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,3,298,N_GE_100,0.610738255033557,0.554304195081096,0.6643535379815436
8H,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,5,298,N_GE_100,0.5939597315436241,0.537348454742512,0.6481793187651821
8H,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,10,298,N_GE_100,0.5973154362416108,0.5407342684486484,0.651419496970035
8H,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,1,93,N_30_99,0.5053763440860215,0.4055833309701149,0.6047428098619243
8H,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,3,93,N_30_99,0.5591397849462365,0.4578797367909649,0.6557078123614655
8H,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,5,93,N_30_99,0.4946236559139785,0.39525719013807575,0.5944166690298852
8H,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,10,92,N_30_99,0.391304347826087,0.2978546577810812,0.4934676907606794
8H,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,1,89,N_30_99,0.48314606741573035,0.3821909362267175,0.5854959627496036
8H,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,3,89,N_30_99,0.5842696629213483,0.4804691516664702,0.6810963534519249
8H,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,5,89,N_30_99,0.4943820224719101,0.39291271906748554,0.5963162472579548
8H,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,10,89,N_30_99,0.4943820224719101,0.39291271906748554,0.5963162472579548
