timeframe,split,direction,distance_bin,sample_count,sample_flag,next_close_hit_rate,next_close_hit_wilson_lo,next_close_hit_wilson_hi,next_intrabar_touch_rate
15m,VALIDATION,OS,1.00-1.50,8827,N_GE_100,0.06752010875722216,0.062471376793812594,0.07294511623896924,0.09980740908575961
15m,VALIDATION,OS,1.50-2.00,4817,N_GE_100,0.042350010379904504,0.03701808815719377,0.04841131072618792,0.052937512974880634
15m,VALIDATION,OS,>2.00,2905,N_GE_100,0.06540447504302926,0.05697524964581154,0.0749816090569793,0.07125645438898451
1D,DISCOVERY,OS,0.00-0.25,117,N_GE_100,0.39316239316239315,0.3094022423100855,0.48371535957535794,0.9230769230769231
1D,DISCOVERY,OS,0.25-0.50,143,N_GE_100,0.32867132867132864,0.2570448191429695,0.40926227639399004,0.6083916083916084
1D,DISCOVERY,OS,0.50-0.75,151,N_GE_100,0.2980132450331126,0.23080698365624436,0.3752420367620411,0.423841059602649
1D,DISCOVERY,OS,0.75-1.00,165,N_GE_100,0.16363636363636364,0.1149646564722128,0.22761442356493441,0.20606060606060606
1D,DISCOVERY,OS,1.00-1.50,270,N_GE_100,0.05185185185185185,0.031134765542600255,0.08514267367773734,0.0962962962962963
1D,DISCOVERY,OS,1.50-2.00,165,N_GE_100,0.04242424242424243,0.020699586619953553,0.08497105379094044,0.048484848484848485
1D,DISCOVERY,OS,>2.00,114,N_GE_100,0.017543859649122806,0.004824317682655354,0.061719245880636375,0.02631578947368421
1D,VALIDATION,OS,0.00-0.25,40,N_30_99,0.375,0.2422277353579172,0.529678399454681,0.9
1D,VALIDATION,OS,0.25-0.50,50,N_30_99,0.4,0.2760818978624575,0.5381881089724063,0.72
1D,VALIDATION,OS,0.50-0.75,48,N_30_99,0.16666666666666666,0.08695410039453223,0.29578100037396254,0.3333333333333333
1D,VALIDATION,OS,0.75-1.00,52,N_30_99,0.21153846153846154,0.12244245849448492,0.34032365135910086,0.23076923076923078
1D,VALIDATION,OS,1.00-1.50,94,N_30_99,0.05319148936170213,0.022931410525010874,0.11853806667078312,0.0851063829787234
1D,VALIDATION,OS,1.50-2.00,53,N_30_99,0.03773584905660377,0.010410068833819265,0.12754523150959116,0.03773584905660377
1D,VALIDATION,OS,>2.00,37,N_30_99,0.02702702702702703,0.00478685105490774,0.13824378437563367,0.02702702702702703
1H,DISCOVERY,OS,0.00-0.25,3089,N_GE_100,0.41048883133700226,0.39326265714608827,0.4279373680993042,0.8847523470378763
1H,DISCOVERY,OS,0.25-0.50,3560,N_GE_100,0.326685393258427,0.31147285416381054,0.34227157712628953,0.6022471910112359
1H,DISCOVERY,OS,0.50-0.75,3955,N_GE_100,0.21188369152970923,0.1994305709099566,0.22489597956379817,0.3570164348925411
1H,DISCOVERY,OS,0.75-1.00,4028,N_GE_100,0.12090367428003972,0.11119505849277965,0.1313347075575533,0.19016881827209534
1H,DISCOVERY,OS,1.00-1.50,6421,N_GE_100,0.07070549758604579,0.06468894383840751,0.07723542671728059,0.10294346674972746
1H,DISCOVERY,OS,1.50-2.00,3229,N_GE_100,0.04242799628367916,0.03600223219294901,0.04994123005401045,0.055744812635490866
1H,DISCOVERY,OS,>2.00,1775,N_GE_100,0.04563380281690141,0.03686740422035928,0.056362706881157576,0.05352112676056338
1H,VALIDATION,OS,0.00-0.25,1077,N_GE_100,0.44846796657381616,0.41900046169537863,0.47830178869912865,0.883008356545961
1H,VALIDATION,OS,0.25-0.50,1160,N_GE_100,0.3120689655172414,0.286062132365054,0.3393164414889825,0.5706896551724138
1H,VALIDATION,OS,0.50-0.75,1392,N_GE_100,0.1875,0.1678657550276089,0.20885435418822193,0.34051724137931033
1H,VALIDATION,OS,0.75-1.00,1410,N_GE_100,0.1226950354609929,0.10658761930657967,0.1408528294678799,0.18581560283687942
1H,VALIDATION,OS,1.00-1.50,2236,N_GE_100,0.0720035778175313,0.06200723591087255,0.08346805127014954,0.10465116279069768
1H,VALIDATION,OS,1.50-2.00,1020,N_GE_100,0.05392156862745098,0.0416592725260333,0.06953136477567431,0.07254901960784314
1H,VALIDATION,OS,>2.00,653,N_GE_100,0.07656967840735068,0.05856034864002767,0.09953195245661418,0.08575803981623277
2H,DISCOVERY,OS,0.00-0.25,1445,N_GE_100,0.41937716262975777,0.39418059645618375,0.44500127132011413,0.8982698961937716
2H,DISCOVERY,OS,0.25-0.50,1681,N_GE_100,0.3361094586555622,0.3139238909111334,0.3590423986201793,0.5984533016061868
2H,DISCOVERY,OS,0.50-0.75,1919,N_GE_100,0.22407503908285564,0.20598051221900746,0.243272093923901,0.3710265763418447
2H,DISCOVERY,OS,0.75-1.00,1952,N_GE_100,0.1398565573770492,0.12517617704700718,0.1559517016114691,0.21362704918032788
2H,DISCOVERY,OS,1.00-1.50,3251,N_GE_100,0.0722854506305752,0.06387936534080717,0.08170117535278602,0.10519840049215626
2H,DISCOVERY,OS,1.50-2.00,1697,N_GE_100,0.04301708898055392,0.03435150974608186,0.05374699395937784,0.049499116087212726
2H,DISCOVERY,OS,>2.00,976,N_GE_100,0.039959016393442626,0.029366795812733645,0.05415854134380267,0.04610655737704918
2H,VALIDATION,OS,0.00-0.25,523,N_GE_100,0.43021032504780116,0.3884382189517653,0.4730002096005737,0.8738049713193117
2H,VALIDATION,OS,0.25-0.50,592,N_GE_100,0.3260135135135135,0.2894799017034069,0.36479062925649913,0.5760135135135135
2H,VALIDATION,OS,0.50-0.75,688,N_GE_100,0.20784883720930233,0.17919114952838722,0.23975098982836734,0.3546511627906977
2H,VALIDATION,OS,0.75-1.00,754,N_GE_100,0.1286472148541114,0.1066177561606379,0.15444154699717233,0.20954907161803712
